,ID,Name,Description,Address,Website,Phone,Activities,Categories,Individual ,Unnamed: 9,Unnamed: 10,Latitude,Longitude,Accessibility Score
10,116,Chambers Total Body,"Chambers Total Body Mountain Brook provides friendly, personal attention to its members, helping them stay fit, active and healthy. We are here to help you reach all of your fitness goals. Regardless of whether you've ever set foot in a Personal Training Studio before, our trainers will listen to your needs and develop a customized workout for you to achieve your goals.","600 Olde English Ln, Mountain Brook, AL 35213, USA",https://www.chamberstotalbody.net/,205-637-1086,"Personal Training,Weight Training,Weightlifting",Adults,Individual ,Indoor,Land activity,33.49542172,-86.7806864,
11,319,City of Hoover Youth Flag Football,The City of Hoover offers a recreational youth flag football program for boys and girls grades 1st thru 8th. Girls have the option of playing down a grade.  Flag football is a great way to play and learn the skills of football without the contact required of tackle football. Players are required to register and attend a player evaluation. Players will be drafted after evaluations and contacted by their coach about practices and game times. Practices are held at Old Berry/Spain Park Sports Complex on weekday nights and games are played at Spain Park Sports Complex on Saturday's.,"5500 Stadium Trace Parkway, Birmingham, AL 35244",http://hooveralabama.gov/568/Youth-Flag-Football,205-444-7754,Flag Football,Children,Individual ,Outdoor,Land activity,33.33884124,-86.85111319,
12,302,Clairmont Show Stables,"Clairmont Show Stables offers horse boarding, riding lessons, IEA teams, Birmingham Equestrian Team, usef showing and much more.","689 Old Deer Creek Rd, Sterrett, AL 35147, USA",http://www.clairmontshowstables.com/,205-243-2750,Horseback Riding,Both,Both,Outdoor,Land activity,33.457513,-86.52392352,
13,263,Cross Creek Golf,"A private golf facility. Cross Creek features a pro shop, driving range, putting green, and practice area. Cross Creek offers golf instructions and lessons.","Hwy 39, Chelsea, AL 35043, USA",,205-678-8500,Golf,Adults,Individual ,Outdoor,Land activity,33.3151307,-86.65615052,
14,287,Cumberland Lake Golf Course,Golf course. They offer a variety of memberships to meet your individual situation thatâ€™s just right for you!,"2150 Cumberland Lake Dr, Pinson, AL 35126, United States",https://cumberlandlakegolf.com/,(205) 680-4653,Golf,Adults,Individual ,Outdoor,Land activity,33.7712295,-86.66875289,
15,70,D1 Birmingham,"D1 Sports Training & Therapy is an athletic training and therapy facility which opened in June 2010 near Brookwood Hospital. It is part of a Nashville, Tennessee-based chain owned by a partnership which includes NFL quarterbacks Peyton Manning and Philip Rivers. Local investors include DeMeco Ryans, Brodie Croyle, and Vonetta Flowers.

The 22,000 square-foot center houses a 16,000 square-foot indoor turf field along with a weight room and sports medicine and therapy clinics.",1014 Montgomery Highway Vestavia Hills AL 35216,https://www.d1training.com/birmingham/?utm_source=GMB&utm_medium=organic&utm_campaign=VestaviaHills,205-509-5434,"Personal Training,Weight Training,Weightlifting",Adults,Individual ,Indoor,Land activity,33.44057844,-86.79025152,
16,260,Deer Valley Links Golf Course,"Deer Valley offers a 9 hole executive rustic links golf course with golf carts available. Driving range, short game practice facilities and club house with pro shop also available. Private lessons are available.","246 Cain Rd, Chelsea, AL 35043, USA",https://www.golfalabama.com/facilities/detail.cfm?ID=168,205-678-2292,Golf,Adults,Individual ,Outdoor,Land activity,33.32292545,-86.71469059,
17,288,FOP Range Inc,"The range is open 7 days a week; from 9:00 am till 5:30 pm Monday through Saturday, 12:00 noon till 5:00 pm Sunday.  When the days get longer, we will remain open until 7:00 pm.  The range is available free of charge to local, state, and federal agencies who do not have their own range and have requested the use of our facility. Call the Range for details.","91 1st St, Pleasant Grove, AL 35127, United States",https://www.foprange.com/,205-744-2600,Rifle Shooting,Both,Individual ,Indoor,Land activity,33.50847106,-86.95733783,
18,245,Fox Lake Farm,"Fox Lake Farm is a training facility that produces quality horses and riders in the hunter, jumper, and equitation rings. Nestled on a hillside just outside downtown Birmingham, featuring a 35 stall barn on 35 acres, there is not a need for horse or rider that is not met.  With all the amenities necessary to support the top levels of this sport, our only goal at Fox Lake Farm is to exceed your expectations. Contact us today for more information on becoming a part of our team.","4801 Valleydale Road, Birmingham, AL, United States",http://www.foxlakefarm.com/,205-991-0624,Horseback Riding,Children,Individual ,Outdoor,Land activity,33.3934061,-86.71901625,
19,368,Gardendale Civic Center,"The Gardendale Civic Center hosts a wide spectrum of meetings, events, functions, parties, and receptions in any of the six meeting rooms, two suites, or in the 6,000-square-foot Exhibition Hall.

The Civic Center also offers modern fitness facilities with a cardiovascular room, free weight room, an 18-station Cybex selectorized weight room, aerobics room with a floating maple floor, spinning cycle room, basketball court, racquetball court, and a cushioned indoor track (9 laps to the mile). The Civic Center is equipped with an elevator for easy access between the first and second floors.","857 Main Street, Gardendale, AL 35071, USA",https://www.cityofgardendale.com/?page_id=317,205-631-5679,"Aerobics,Basketball,Dance,Personal Training,Racquetball,Running,Spinning,Walking,Weight Training,Weightlifting,Yoga",Both,Individual ,Indoor,Land activity,33.64713062,-86.80977073,
20,78,Gauntlet fitness,"At Gauntlet Fitness, we believe that everyone is on a quest. Whether you are taking over the corporate world with long days in the office or trying to match the energy of two kids running through the houseâ€” you need energy. You need focus. You need to be prepared for whatever life throws at you. And that's exactly what we deliver to our members. Whether your quest is more energy, weight loss, more strength, or self-confidence, we can help you conquer your quest.","2610 19th St S, Homewood, AL 35209, USA",https://www.gauntletfit.com/,205-414-6689,Kickboxing,Adults,Individual ,Indoor,Land activity,33.48397084,-86.79009179,
21,370,Geaux Play Sports Training and Fitness,"Geaux Play Sports Training & Fitness is a state-of the art training and fitness facility where athletes can train with the pros and adults can get fit.

Geaux Play is your elite source for baseball and softball instruction and baseball and softball camps. No matter what your level in baseball or softball, Geaux Play can make you a better player. We offer private instruction in pitching, hitting, catching, fielding, throwing, and speed training.  We also offer cage rentals for teams or individuals.","2790 Pelham Pkwy, Pelham, AL 35124, USA",https://www.geauxplayalabama.com/,(205) 406-5830,"Aerobics,Kickboxing,Personal Training,Spinning,Weight Training,Weightlifting",Adults,Individual ,Indoor,Land activity,33.30946937,-86.80545734,
22,170,George Ward Tennis Center,Tennis courts that are free to use with membership. Tennis lessons are offered for members and non-members.,"1871 Green Springs Hwy, Birmingham, AL 35205, USA",http://www.jltsfi.com/tenniscenters/gwtc/gwtc_aboutus.asp,205-322-8745,Tennis,Both,Individual ,Outdoor,Land activity,33.48785523,-86.82261019,
23,172,Greystone Golf & Country Club,Greystone Golf & Country Club is a private club boasting 36 holes of world-class golf. The Founders Course designed by Bob Cupp and Legacy Course designed by Rees Jones.,"4100 Greystone Dr, Birmingham, AL 35242, United States",https://www.greystonecc.com/,205-980-5200,"Golf,Swimming,Tennis",,,,,33.42988278,-86.6508198,
24,247,Head Over Heels,"Head Over Heels has been helping children gain fitness, gymnastics skills, confidence and self-esteem for over 20 years.  Founded in Birmingham in 1979, Head Over Heels continues to grow and offer new, varied programs with the constant goal of providing the best in childrenâ€™s gymnastics and fitness.","500 Caldwell Trce, Birmingham, AL 35242, United States",https://headoverheelsgyms.com/,205-981-2720,Gymnastics,Children,Individual ,Indoor,Land activity,33.3808292,-86.73779607,
25,136,Helena Health Club,"Offering a variety of memberships, there is one sure to fit your needs! 9 different classes offered over 30 different times throughout the week.","4766 Co Road 52, Helena, AL 35080, USA",https://helenahealthclub.com/,205-621-7007,"Aerobics,Personal Training,Pilates,Weight Training,Weightlifting,Yoga",Adults,Individual ,Indoor,Land activity,33.28255551,-86.85415823,
26,227,Helena Sports Complex and Community Center,"Home of the Helena Huskies. 
Helena Sports Complex offers 4 baseball fields, 2 softball fields and a multipurpose field used for
football and soccer. The Helena Community Center is also located at the Sports Complex.  Commmunity center has basketball court and indoor walking track. Sports complex has football field and baseball fields.","110 Sports Complex Drive, Helena AL 35080",http://www.helenaparkandrec.org/,205-620-2877,"Baseball,Basketball,Football,Running,Walking",Both,Both,Outdoor,Land activity,33.30239795,-86.84712337,
27,51,Homewood Central City Pool,"Located at Homewood Community Center, opens May 22nd for Summer Season 2015 (with Membership)","1632 Oxmoor Rd, Birmingham, AL 35209, USA",https://www.homewoodparks.com/central-pool,205-332-6700,Swimming,Both,Both,Outdoor,Water activity,33.47646216,-86.80004125,
28,377,Homewood Community Center,"This facility offers memberships to Homewood City residents only.

Homewood Community Center Amenities: 2 Gymnasiums; Fitness Center with cardio, weight machines & free weight equipment; 2 Lane indoor walking/jogging track; 2 Fitness Studios; Menâ€™s & Womenâ€™s Locker Rooms; Vending Lounge area; Rental Event Room and Free Wifi.

Homewood Central Pool Amenities: 8 Lane 25 yard Competition Pool; Splash Park (Wet Playground); Zero depth entrance ramp; Water vortex; Concession Area; Menâ€™s & Womenâ€™s Locker Rooms and Party Room for rentals.","1632 Oxmoor Rd, Birmingham, AL 35209, USA",https://www.homewoodparks.com/,(205) 332-6700,"Basketball,Swimming,Walking,Weightlifting",Both,Individual ,Indoor,Land activity,33.47656955,-86.80000906,
29,219,Homewood Soccer Club,"A volunteer-led organization supporting more than 700 active players each season. Goals include: (1) Creating a player and family-friendly environment (2) Maintaining a reputation for having coaches, players and parents that always act appropriately. (3) Money should never keep a child from playing soccer. And (4) Training is measured in player development, not just wins and loses. The club is passionate about the sport and how we develop both the soccer player and the child.","1718 S Lakeshore Dr, Birmingham, AL 35216, USA",https://www.homewoodsoccer.com/,205-332-6700,Soccer,Children,Individual ,Outdoor,Land activity,33.44994843,-86.80991943,
30,194,Hoover Country Club,"Hoover Country Club is a private, member-owned and operated club serving the Hoover and Birmingham area. Hoover Country Club was established in 1959.  It is located in the Green Valley-Star Lake area, where the rolling wooded landscape is made even more picturesque by peacefully meandering fairways of lush green grass and smooth, challenging greens.  Hoover Country Club is a splendid, well-developed club, with something to offer every member of your family.","3140 Club Dr, Birmingham, AL 35226, USA",https://www.hoovercc.com/,205-822-0647,"Golf,Swimming,Tennis",,,,,33.39967678,-86.8216026,
31,94,Hoover Recreational Center,"If you are interested in getting more fit or looking for ways to enhance your current fitness level, our staff at the Hoover Recreation Center can help you find the best program to fit your needs. 
Group Fitness
Our group fitness department offers a variety of classes to fit all of your fitness needs.  We offer 57 classes a week including cycle, cardio, power yoga sculpt, yoga, Pilates, water fitness, senior exercise, Zumba and sculpting classes.  Seasonal schedules are available at the Hoover Recreation Center.
Personal Training
The Hoover Recreation Center has seven certified personal trainers to provide the motivation, education, guidance, and individual instruction required to achieve your personal fitness goals. Our trainers will design a tailored exercise program for each individual that reflect the clientâ€™s objectives, fitness level, and experience.","600 Municipal Drive, Hoover, AL, United States",http://www.hooveralabama.gov/364/Parks-Recreation,205-444-7703,"Aerobics,Basketball,Chair Exercise,Dance,Karate,Personal Training,Pilates,Spinning,Swimming,Water Aerobics/Exercise,Weight Training,Weightlifting,Yoga",Both,Individual ,Both,Both,33.38904821,-86.80144092,
32,347,Hoover Tactical Firearms,"You can buy, sell, and trade guns as well as a shooting range","1561 Montgomery Hwy, Hoover, AL 35216, USA",https://www.hoovertactical.com/,(205) 822-3600,Rifle Shooting,Adults,Individual ,Indoor,Land activity,33.40455616,-86.80530044,
33,201,Hueytown Taekwondo Academy,"Taekwondo Academy is a small dojo located in Hueytown that provides classes for learning taekwondo and jiu-jitsu. Classes range from teaching 4 year olds to 99 year olds. Beginner, intermediate, and advanced classes are all offered. Private lessons available by appointment.","36 Commerce Ave, Hueytown, AL 35023, USA",http://htataekwondo.com/index.html,205-760-5380,"Jiu Jitsu,Taekwondo",Both,Individual ,Indoor,Land activity,33.43653046,-86.97855223,
34,154,Impact martial arts,"At Karen Mitchell's Impact Martial Arts the focus is on your personal goals for Fitness, Self-Defense and Fun! We strive to provide the best in martial arts instruction. We offer martial arts training for children, teens and adults in a safe, fun, yet challenging environment.","3186 Pelham Parkway, Pelham, AL, United States",https://impactmartialartsal.com/,205-664-4422,"Karate,Kickboxing,Taekwondo",Both,Individual ,Indoor,Land activity,33.28629373,-86.81076497,
35,344,JamJev Gymnastics,"JamJev is a gymnastics training facility located in Bessemer, AL.","Parkwood Rd SE, Bessemer, AL 35022, USA",https://www.jamjevgymnastics.com/,(205) 426-6550,Gymnastics,Children,Individual ,Indoor,Land activity,33.34135814,-86.9025322,
36,426,Juarez Boxing,"All sessions are by appointment only. One-on-one training is $60 an hour and $40 for a half hour. Buddy sessions are $80 an hour for two participants or $105 for three participants. Boot camps are offered on Mondays at 5:30 pm, Tuesdays at 5:15 am and 8:30 am, Wednesdays at 5:30 am, Thursdays at 5:30 pm and Fridays at 9:30 am. Boot camps are $25 for a single session or $18 if you buy 4 at a time. Gather a group of 5 or more friends and you can schedule a boot camp at any time!","4500 Montevallo Rd, Birmingham, AL 35210, USA",http://boxwithmartin.com/,205-370-8992,Boxing,Both,Both,Indoor,Land activity,33.5218069,-86.72745582,
37,398,Lake Purdy Fishing & Boating,"Lake Purdy is one of the few places in Alabama which still offers a full lakeside tackle/bait shop, boat rental, rod rental, free bank fishing, and Nissan outboard motor repair (link). The lake is a pristine source of drinking water for the area so it is completely development free and the fish are excellent to eat!  Because no private boats are allowed on Lake Purdy, fishing pressure is reduced and we still have an excellent population of Large Mouth Bass, Spotted Bass, Crappie, Bream, Catfish and more.  If you're looking for an inexpensive getaway, we have picnic areas, pontoon boats, free bank fishing, and beautiful sunsets!  Come out to enjoy a day fishing or just getting out of the house.","3780 Boat Launch Rd, Birmingham, AL, USA",https://www.lakepurdyfishing.com/,(205) 991-9107,"Boating,Fishing",Both,Both,Indoor,Land activity,33.46684498,-86.64220564,
38,397,Lake Purdy Rowing Association,"Whether you are an experienced rower or new to the sport, LPRA offers training, facilities and equipment to row at the Lake Purdy Reservoir under sanction of Lake Purdy Fishing Inc.  You are invited to participate in our educational programs and experience the joy of rowing!  Upon successfully completing a Learn-to-Row program, or otherwise demonstrating rowing proficiency, you are eligible to join LPRA and to use LPRA-owned boats and equipment appropriate to your level of ability. 

LPRA is an Alabama non-profit applying for 501c3 status, a member of the United States Rowing Association, and is modeled as a public-private initiative to involve, engage, and benefit the community.  Building on the foundation of its predecessor, Birmingham Rowing Club, LPRA's vision is to bring individual rowers, high school and collegiate athletes and teams, public entities, and corporate sponsors together to partner with both the Birmingham Water Works Board and Lake Purdy Fishing's President, Ken Delap, to build a robust community rowing program. 

LPRA values camaraderie, respect for nature, and diversity of intellect, ability, gender and race. Our mission is to educate and nurture a passion for both sweep and scull rowing in people of all ages and help steer young lives in a positive direction - focusing on teamwork, sportsmanship, leadership, and commitment to being good environmental stewards of Lake Purdy. 

The Association is funded through membership dues, fees for classes and training, Junior and Collegiate programs, public and private donations/sponsorships, and fund-raising events such as galas, barbecues, auctions, and corporate team-building and competitive events.","3780 Boat Launch Rd, Leeds, AL 35094, USA",https://www.lakepurdyrowing.org/,(205) 991-9107,Rowing,Both,Both,Indoor,Land activity,33.46689868,-86.6423022,
39,417,Lemon Tree Yoga,"Lemon Tree Yoga's teachers are highly-trained, experienced, and dedicated to the success of your practice.  They bring a wide range of practice styles and personalities making it easy for you to find the perfect practice partner.","611 Doug Baker Blvd, Birmingham, AL 35242, USA",https://lemontreeyoga.com/index.php/home-2-2/,518-301-3291,"Pilates,Yoga",Adults,Both,Indoor,Land activity,33.40743203,-86.6656817,
40,46,Levite Jewish Community Center,"Through the lens of Jewish identity and values, the Levite Jewish Community Center provides a welcoming, family-oriented gathering place for a diverse membership to engage in meaningful experiences of the mind, body and soul.

Impacting more than 130,000 members of the Birmingham community annually, the LJCC is welcoming to people of all faiths, ages, and backgrounds. We are a family-oriented recreational and educational facility that is open to the entire community, and we are a United Way agency.","3960 Montclair Rd, Birmingham, AL 35213, USA",https://bhamjcc.org/,205-879-0411,"Aerobics,After-School Program,Basketball,Biking,Chair Exercise,Cycling,Dance,Hiking,Personal Training,Pilates,Racquetball,Running,Soccer,Spinning,Swimming,Tennis,Volleyball,Water Aerobics/Exercise,Weight Training,Weightlifting,Yoga",Both,Both,Both,Both,33.51152162,-86.7546009,
41,304,Martin Luther King Jr. Recreation Center,"A recreation center featuring an indoor basketball gym, and outdoor playground, pool, picnic area, and tennis courts.","529 43rd St N, Birmingham, AL 35222, USA",https://www.birminghamal.gov/parks-and-recreation/recreation/,(205) 591-3716,"Basketball,Parks,Tennis",Both,Individual ,Both,Land activity,33.53269956,-86.77289739,
42,37,Moss Rock Preserve,"Moss Rock Preserve is a beautiful 349 acre nature preserve abundant with forest systems, rock outcroppings, streams, waterfalls, wildlife, and other unique natural features.","617 Preserve Pkwy, Hoover, AL 35226, USA",http://www.hooveral.org/214/Moss-Rock-Preserve,(205) 739-7141,"Biking,Climbing,Hiking",Both,Both,Outdoor,Land activity,33.38152762,-86.83909686,
43,346,Mountain Brook Gymnastics,"For nearly 30 years, Mountain Brook Gymnastics has been known for excellence, dedication, and outstanding results in the community.  Providing a well-known and highly respected venue to develop critical physical coordination, discipline, competitive spirit, sportsmanship, and a valuable work ethic, our program has successfully served thousands of girls and boys since its inception.

Mountain Brook Gymnastics is recognized as one of the finest gymnastics programs in the nation and currently boasts an enrollment of around 1000 students, ranging in age from two-year-olds to teenagers.  And while our Recreational Program is growing tremendously, we also have one of the largest Compulsory Competitive Team programs in the state of Alabama. Supporting our fantastic Team Program, our Parents' Club has hosted numerous state, regional, and national gymnastics competitions, and has served as an outstanding ambassador of our community's hospitality and spirit.


As one of the few organized athletic opportunities currently available to girls in our community, Mountain Brook Gymnastics offers the young women of tomorrow an opportunity today to develop character building skills which will allow them to excel not only in the gym, but in other athletic endeavors, the classroom, and in every day situations throughout their lives.  A good amount of Mountain Brook Gymnastics' participants are honor roll students and most excel in the Presidential Fitness tests given annually at local schools. Quite simply, our program does an outstanding job helping to create winners, outstanding citizens, and leaders for tomorrow's generation.","3677 Bethune Drive, Mountain Brook, AL 35223, USA",https://www.mountainbrookgymnastics.com/,(205) 969-4889,Gymnastics,Children,Individual ,Indoor,Land activity,33.49038653,-86.71089875,
44,45,Mountain Brook YMCA,"Mountain Brook Y is a nonprofit organization dedicated to strengthening communities through youth development, healthy living and social responsibility.","2401 20th Pl S, Birmingham, AL 35223, USA",https://www.ymcabham.org/,205-870-0144,"Aerobics,After-School Program,Basketball,Dance,Personal Training,Physical Education,Pilates,Running,Spinning,Swimming,Tennis,Volleyball,Walking,Weight Training,Weightlifting,Yoga",Both,Individual ,Both,Both,33.48820729,-86.78546406,
45,375,Oak Mountain Lanes,Where Family,"300 Bowling Ln, Pelham, AL 35124, USA",https://www.oakmountainlanes.com/,(205) 403-7466,Bowling Laser Tag,Both,Both,Indoor,Land activity,33.33545317,-86.79555782,
46,68,Old Overton Club,"Founded in 1993, Old Overton Club is a private, developer-owned club, nestled in the heart of the prestigious Liberty Park community, in Vestavia Hills, Alabama. Membership privileges include full use of the Tom Fazio & Jerry Pate designed Golf Course, the Club House, and the Swim & Tennis Pavilion.

The course was voted Best New Private Course"" in America by Golf Digest in 1994","7251 Old Overton Club Dr, Vestavia Hills, AL 35242, USA",https://www.oldovertonclub.com/Home,,Briana Williams,,,,,33.49174266,-86.68035542,
47,390,Oyama Karate,Karate classes and lessons for adults and children.,"29th Ave S, Homewood, AL 35209, USA",https://www.worldoyama.com/,205-879-4841,Karate,Both,Both,Indoor,Land activity,33.47986589,-86.78935779,
48,185,Pelham Civic Complex,"Tucked below Oak Mountain, only 20 minutes south of Birmingham, the Pelham Civic Complex and Ice Arena is Shelby Countyâ€™s finest entertainment, conference and banquet facility.   With two NHL-sized ice arenas (one that easily transforms into 30,000-square feet of exhibition space), a Skating School, Skating-Birthday Party Rooms, and 7,000 square feet of elegant banquet and conference space,  Pelham Civic Complex and Ice Arena is the ideal place to showcase your special event.","500 Amphitheater Rd, Pelham, AL 35124",https://www.pelhamciviccomplex.com/,205-620-6448,"Hockey,Ice Skating",Both,Both,Indoor,Land activity,33.3297226,-86.78930682,
49,153,Pelham Racquet Club,"The Pelham Racquet Club is a public tennis facility consisting of 20 clay courts and 5 hard courts, all lighted with above tournament grade lighting. The entire facility is beautifully landscaped on three tiers providing function and visibility to all courts. In addition to tournaments; lessons, league play, and socials are active year round. Racquet stringing services and a complete pro shop are also available.","100 Racquet Club Pkwy, Pelham, AL 35124, United States",https://pelhamracquetclub.com/,205-621-3380,Tennis,Both,Individual ,Outdoor,Land activity,33.28088804,-86.7917046,
50,173,Pelham Tennis Center,"Nine hard courts all lighted with water coolers and player benches

Fiberglass backboard on Court #1

Playmate Ball machine available - $10 per 1/2 hour or $15 per hour

Spacious Club House complete with a full kitchen, fireplace and roomy sitting area

Comfortable viewing from the covered porch with ceiling fans for those hot summer days

Restrooms with plenty of space to change clothes

All courts and Club House are wheelchair accessible","315 Ball Park Rd, Pelham, AL 35124, USA",https://pelhamracquetclub.com/tennis-center/,205-620-6428,Tennis,Both,Individual ,Outdoor,Land activity,33.30470802,-86.8086765,
51,60,Premier Gymnastics,"Our mission is to provide a fun and exciting environment where children can maximize their physical fitness and self-esteem. While the children are experiencing the joys of gymnastics, they are also developing social skills, respect for others, and the ability to handle success and failure. Our goal is to not only enhance the physical abilities of a child, but to provide the building blocks of confidence for their future.","3447 Lorna Rd, Birmingham, AL 35216, USA",https://www.premiergym.net/,205-823-4966,"Gymnastics,Swimming",Children,Individual ,Indoor,Land activity,33.39071977,-86.79581232,
52,258,Red Eagle Skeet and Trap,"Red Eagle offers six skeet fields, three trap fields, four covered picnic areas and one five stand.  The clubhouse includes a large kitchen, a new living room (referred to as the shooter's lounge), two indoor and two outdoor restrooms, central heat and air and a large covered porch/picnic area.  There are 18 RV spaces available with 30 and 50 amp outlets and ample parking.  Each field fence has a shelter on each side of the fence with extra gun racks and benches.","332 Hollywood Blvd, Childersburg, AL 35044, USA",https://redeaglegunclub.com/,(256) 378-6970,Rifle Shooting,Both,Individual ,Outdoor,Land activity,33.30416115,-86.3501377,
